station,name,x,y,tair
85099.0,Pound Creek,145.8,-38.6,[19 - 21.500]
85151.0,Yarram Airport,146.7,-38.6,[19 - 21.500]
85279.0,Bairnsdale Airport,147.6,-37.9,[21.500 - 24]
85280.0,Morwell (Latrobe Valley Airport),146.5,-38.2,[19 - 21.500]
85291.0,Mount Baw Baw,146.3,-37.8,[11.500 - 14]
85296.0,Mount Moornapa,147.1,-37.7,[19 - 21.500]
85301.0,Corner Inlet (Yanakie),146.2,-38.8,[19 - 21.500]
85313.0,Nilma North (Warragul),146.0,-38.1,[19 - 21.500]
86038.0,Essendon Airport,144.9,-37.7,[19 - 21.500]
86068.0,Viewbank,145.1,-37.7,[21.500 - 24]
86071.0,Melbourne Regional Office,145.0,-37.8,[21.500 - 24]
86077.0,Moorabbin Airport,145.1,-38.0,[19 - 21.500]
86104.0,Scoresby Research Institute,145.3,-37.9,[19 - 21.500]
86266.0,Ferny Creek,145.3,-37.9,[16.500 - 19]
86282.0,Melbourne Airport,144.8,-37.7,[19 - 21.500]
86338.0,Melbourne (Olympic Park),145.0,-37.8,[19 - 21.500]
86361.0,Cerberus,145.2,-38.4,[19 - 21.500]
86371.0,Frankston Aws,145.1,-38.1,[16.500 - 19]
86372.0,Ferny Creek (Dunns Hill),145.3,-37.9,[16.500 - 19]
86373.0,Rhyll,145.3,-38.5,[19 - 21.500]
86383.0,Coldstream,145.4,-37.7,[19 - 21.500]
87031.0,Laverton Raaf,144.8,-37.9,[19 - 21.500]
87113.0,Avalon Airport,144.5,-38.0,[19 - 21.500]
87163.0,Grovedale (Geelong Airport),144.3,-38.2,[19 - 21.500]
87166.0,Point Wilson,144.5,-38.1,[19 - 21.500]
87168.0,Sheoaks,144.1,-37.9,[19 - 21.500]
87184.0,Breakwater (Geelong Racecourse),144.4,-38.2,[19 - 21.500]
88051.0,Redesdale,144.5,-37.0,[21.500 - 24]
88109.0,Mangalore Airport,145.2,-36.9,[21.500 - 24]
88162.0,Wallan (Kilmore Gap),145.0,-37.4,[16.500 - 19]
88164.0,Eildon Fire Tower,145.8,-37.2,[19 - 21.500]
89002.0,Ballarat Aerodrome,143.8,-37.5,[19 - 21.500]
89105.0,Lookout Hill,143.2,-37.3,[14 - 16.500]
89112.0,Westmere,142.9,-37.7,[19 - 21.500]
90015.0,Cape Otway Lighthouse,143.5,-38.9,[16.500 - 19]
90035.0,Colac (Mount Gellibrand),143.8,-38.2,[19 - 21.500]
90171.0,Portland (Cashmore Airport),141.5,-38.3,[16.500 - 19]
90173.0,Hamilton Airport,142.1,-37.6,[19 - 21.500]
90175.0,Port Fairy Aws,142.2,-38.4,[19 - 21.500]
90176.0,Mortlake Racecourse,142.8,-38.1,[19 - 21.500]
90180.0,Aireys Inlet,144.1,-38.5,[19 - 21.500]
90182.0,Casterton,141.3,-37.6,[19 - 21.500]
90184.0,Cape Nelson Lighthouse,141.5,-38.4,[16.500 - 19]
90186.0,Warrnambool Airport Ndb,142.5,-38.3,[19 - 21.500]
90192.0,Portland Ntc Aws,141.6,-38.3,[16.500 - 19]
90194.0,Dartmoor,141.3,-37.9,[19 - 21.500]
91104.0,Launceston Airport Comparison,147.2,-41.5,[16.500 - 19]
91107.0,Wynyard Airport,145.7,-41.0,[16.500 - 19]
91126.0,Devonport Airport,146.4,-41.2,[16.500 - 19]
91219.0,Scottsdale (West Minstone Road),147.5,-41.2,[16.500 - 19]
91237.0,Launceston (Ti Tree Bend),147.1,-41.4,[19 - 21.500]
91245.0,Cape Grim Baps (Comparison),144.7,-40.7,[14 - 16.500]
91259.0,Luncheon Hill (Forestry),145.2,-41.1,[14 - 16.500]
91291.0,Sheffield School Farm,146.3,-41.4,[16.500 - 19]
91292.0,Smithton Aerodrome,145.1,-40.8,[16.500 - 19]
91293.0,Low Head,146.8,-41.1,[16.500 - 19]
91306.0,Cressy Research Station,147.1,-41.7,[19 - 21.500]
91311.0,Launceston Airport,147.2,-41.5,[16.500 - 19]
91331.0,Cape Grim,144.7,-40.7,[14 - 16.500]
91344.0,Burnie Ntc Aws,145.9,-41.1,[16.500 - 19]
92012.0,Fingal (Legge Street),148.0,-41.6,[19 - 21.500]
92045.0,Larapuna (Eddystone Point),148.3,-41.0,[19 - 21.500]
92114.0,Friendly Beaches,148.3,-42.0,[19 - 21.500]
92120.0,St Helens Aerodrome,148.3,-41.3,[16.500 - 19]
92123.0,Swan Island,148.1,-40.7,[16.500 - 19]
92124.0,Maria Island (Point Lesueur),148.0,-42.7,[16.500 - 19]
92133.0,Spring Bay Ntc Aws,147.9,-42.5,[16.500 - 19]
94008.0,Hobart Airport,147.5,-42.8,[16.500 - 19]
94029.0,Hobart (Ellerslie Road),147.3,-42.9,[16.500 - 19]
94041.0,Maatsuyker Island Lighthouse,146.3,-43.7,[11.500 - 14]
94087.0,Kunanyi (Mount Wellington Pinnacle),147.2,-42.9,[9 - 11.500]
94155.0,Tasman Island,148.0,-43.2,[14 - 16.500]
94191.0,Hartz Mountain (Keoghs Pimple),146.8,-43.2,[11.500 - 14]
94195.0,Tunnack Fire Station,147.5,-42.5,[14 - 16.500]
94198.0,Cape Bruny (Cape Bruny),147.1,-43.5,[14 - 16.500]
94212.0,Campania (Kincora),147.4,-42.7,[19 - 21.500]
94220.0,Grove (Research Station),147.1,-43.0,[16.500 - 19]
94254.0,Dunalley (Stroud Point),147.8,-42.9,[16.500 - 19]
94255.0,Dennes Point,147.4,-43.1,[16.500 - 19]
95003.0,Bushy Park (Bushy Park Estates),146.9,-42.7,[16.500 - 19]
95048.0,Ouse Fire Station,146.7,-42.5,[19 - 21.500]
96003.0,Butlers Gorge,146.3,-42.3,[14 - 16.500]
96033.0,Liawenee,146.7,-41.9,[11.500 - 14]
97000.0,Cape Sorell,145.2,-42.2,[16.500 - 19]
97024.0,Warra,146.7,-43.1,[14 - 16.500]
97072.0,Strahan Aerodrome,145.3,-42.2,[16.500 - 19]
97080.0,Low Rocky Point,145.5,-43.0,[14 - 16.500]
97083.0,Scotts Peak Dam,146.3,-43.0,[14 - 16.500]
97085.0,Mount Read,145.5,-41.8,[9 - 11.500]
98017.0,King Island Airport,143.9,-39.9,[16.500 - 19]
99005.0,Flinders Island Airport,148.0,-40.1,[19 - 21.500]
200001.0,Middle Percy Island,150.3,-21.7,[24 - 26.500]
200283.0,Willis Island,150.0,-16.3,[29 - 31.500]
200731.0,Point Fawcett,130.0,-11.8,[29 - 31.500]
200838.0,Hogan Island,147.0,-39.2,[16.500 - 19]
