ENO,Name,Synonyms,State,Operating Status,Longitude,Latitude,Commodities,Significance,Description1,URL1,Description2,URL2,Description3,URL3,Description4,URL4,Description5,URL5
335840,Telfer,Telfer Dome,WA,operating mine,122.2109,-21.7224,"Gold, (Copper)",2,Newcrest Mining Ltd,http://www.newcrest.com.au,,,,,,,,
336231,NRE Wongawilli,"Nebo, Elouera",NSW,operating mine,150.7356635,-34.47492085,Coal - black,3,Illawarra Coal,http://www.illawarracoal.com,Gujarat NRE,http://www.gujaratnre.com.au,,,,,,
333791,Integra (Glennies Creek),,NSW,operating mine,151.1349811,-32.4688395,Coal - black,2,AME Group,http://www.ame.com.au/,Integra Coal,http://www.integracoal.com.au,Vale Australia,http://integra.valeaustralia.com.au/,,,,
335138,Liddell,Liddell State,NSW,operating mine,150.9998825,-32.39160069,Coal - black,2,Xstrata plc,http://www.xstrata.com/,Liddell Coal,http://www.liddellcoal.com.au/,,,,,,
334441,Mount Thorley,,NSW,operating mine,151.1086237,-32.63740979,Coal - black,2,Rio Tinto Limited,http://www.riotinto.com,Coal and Allied,http://www.coalandallied.com.au/,Rio Tinto Coal Australia,http://www.riotintocoalaustralia.com.au,,,,
333306,Myuna,,NSW,operating mine,151.5687383,-33.06011103,Coal - black,2,Centennial Coal Co Ltd,http://www.centennialcoal.com.au,,,,,,,,
335025,Bulga,"Saxonvale, South Bulga, Beltana",NSW,operating mine,151.1099843,-32.6868398,Coal - black,1,Xstrata plc,http://www.xstrata.com/,,,,,,,,
334148,NRE No1,"South Bulli,  Bellambi West, Balgownie No1, Gibsons, Bellpac No1",NSW,operating mine,150.8699894,-34.34684941,Coal - black,2,Illawarra Coal,http://www.illawarracoal.com,Gujarat NRE,http://www.gujaratnre.com.au,,,,,,
334258,Ulan,"Ulan No.2, Ulan West",NSW,operating mine,149.749983,-32.24686293,Coal - black,2,Xstrata plc,http://www.xstrata.com/,,,,,,,,
335473,Cowal,"Endeavour 42, Lake Cowal",NSW,operating mine,147.4067,-33.6369,Gold,3,Barrick Gold Corporation,http://www.barrick.com,,,,,,,,
334654,Wambo,"Wollemi, Homestead",NSW,operating mine,150.9980749,-32.57815077,Coal - black,2,Peabody Energy Australia,http://www.peabodyenergy.com.au,,,,,,,,
334195,Warkworth,Warkworth No.1,NSW,operating mine,151.0901636,-32.60700995,Coal - black,2,Rio Tinto Limited,http://www.riotinto.com,Coal and Allied,http://www.coalandallied.com.au/,Rio Tinto Coal Australia,http://www.riotintocoalaustralia.com.au,,,,
335557,Mount Weld,,WA,operating mine,122.5475227,-28.85994859,"Rare earth oxides, (Phosphorous oxide, Thorium, Tantalum pentoxide, Zirconia, Niobium pentoxide, Yttrium oxide, Phosphate, Phosphorous, Niobium, Tantalum, Rare earth elements)",2,Lynas Corporation Ltd,http://www.lynascorp.com,,,,,,,,
