ENO,Name,Synonyms,State,Operating Status,Longitude,Latitude,Commodities,Significance,Description1,URL1,Description2,URL2,Description3,URL3,Description4,URL4,Description5,URL5
334713,Mount Owen,"Glendell, Ravensworth East",NSW,operating mine,151.0999807,-32.38683979,Coal - black,3,Mount Owen Mine,http://www.mining-technology.com/projects/owen/,Xstrata plc,http://www.xstrata.com/,,,,,,
334005,Ravensworth UG,"Newpac Colliery, Nardell Colliery",NSW,operating mine,151.0374824,-32.43656236,Coal - black,2,Xstrata plc,http://www.xstrata.com/,,,,,,,,
333422,Newstan,,NSW,operating mine,151.5768899,-32.9758137,Coal - black,2,Centennial Coal Co Ltd,http://www.centennialcoal.com.au,,,,,,,,
334006,Rixs Creek,,NSW,operating mine,151.129982,-32.52683956,Coal - black,2,,,,,,,,,,
335486,Coppabella,Johnson Pit,QLD,operating mine,148.427187,-21.844554,Coal - black,2,Macarthur Coal Ltd,http://www.macarthurcoal.com.au,,,,,,,,
334402,Crinum,,QLD,operating mine,148.371006,-23.210105,Coal - black,2,Crinum Mine,http://www.mining-technology.com/projects/crinum/,BMA,http://www.bmacoal.com,,,,,,
334858,Meandu,Tarong,QLD,operating mine,151.911523,-26.813543,Coal - black,2,Stanwell Corporation Ltd,http://www.stanwell.com,,,,,,,,
334668,Premier,,WA,operating mine,116.2865092,-33.39172824,Coal - black,6,Wesfarmers,http://www1.wesfarmers.com.au,Department of Industry and Resources,http://www.doir.wa.gov.au,,,,,,
335589,Three Springs,"Coodewa, Coodawa",WA,operating mine,115.8605822,-29.5021955,Talc,6,,,,,,,,,,
335677,Lake Macdonnell,,SA,operating mine,133.0468869,-32.02932224,Gypsum,6,,,,,,,,,,
334403,Southern Iron-Peculiar Knob,,SA,operating mine,135.3826479,-29.58681279,"Iron ore, (Iron)",4,Arrium Ltd,http://www.arrium.com,,,,,,,,
333545,Moorvale,,QLD,operating mine,148.3535805,-21.99551721,Coal - black,2,Peabody Energy Australia,http://www.peabodyenergy.com.au,,,,,,,,
335057,Duralie,Wards River,NSW,operating mine,151.9490999,-32.29136023,Coal - black,2,Gloucester Coal,http://www.gloucestercoal.com.au,,,,,,,,
333922,Cameby Downs,,QLD,operating mine,150.2871782,-26.57862171,Coal - black,3,,,,,,,,,,
334679,Yarrabee,Yarrabee North,QLD,operating mine,149.026371,-23.317678,Coal - black,3,Felix Resources,http://www.felixresources.com.au,Yancoal Australia Pty Ltd,http://yancoalaustralia.com.au,,,,,,
334141,Scotia,,TAS,operating mine,147.9988,-40.9485,"Tin oxide/cassiterite, Tin, Gold, Zircon, (Rutile)",5,,,,,,,,,,
336075,Austar,"Bellbird, Pelton-Ellalong, Southland",NSW,operating mine,151.3046211,-32.866855,Coal - black,2,Austar Coal Mine Pty Ltd,http://www.austarcoalmine.com.au,Yancoal Australia Pty Ltd,http://yancoalaustralia.com.au,,,,,,
335885,Plutonic East,Plutonic Project,WA,operating mine,119.4464,-25.3067,Gold,4,Barrick Gold Corporation,http://www.barrick.com,Northern Star Resources Limited,http://www.nsrltd.com/,,,,,,
333787,Carnilya,,WA,operating mine,121.8635869,-31.0532607,"Nickel, Copper",4,Mincor Resources NL,http://www.mincor.com.au,View Resources,http://www.viewresources.com.au,,,,,,
333664,Koolan Island (Mt Gibson),"Mullet, Barramundi, Main, Acacia, Eastern",WA,operating mine,123.740184,-16.127535,"Iron ore, (Iron)",3,Mt Gibson Iron Ltd,http://www.mtgibsoniron.com.au/,,,,,,,,
334903,Cullenswood,,TAS,operating mine,148.152291,-41.617804,Coal - black,6,Tasmanian Minerals Council,http://www.tasminerals.com.au,,,,,,,,
335527,Rising Tide,Burnside Project,NT,operating mine,131.4252,-13.4491,Gold,4,Crocodile Gold Corporation,http://www.crocgold.com/,,,,,,,,
335815,Port Gregory,"Lynton South, Lynton, Hose",WA,operating mine,114.281448,-28.178205,"Garnet, Ilmenite",4,,,,,,,,,,
334995,Christmas Island,,IOT,operating mine,105.65,-10.491667,Phosphate,6,,,,,,,,,,
335913,Princess Louise,Burnside Project,NT,operating mine,131.5437,-13.5142,Gold,5,Crocodile Gold Corporation,http://www.crocgold.com/,,,,,,,,
334912,Foxleigh,includes Foxleigh East,QLD,operating mine,148.8038889,-22.99777778,Coal - black,3,Anglo Coal Australia Pty Ltd,http://www.anglocoal.com.au/,Itochu Corporation,http://www.itochu.co.jp/main/index_e.html,,,,,,
335515,New Oakleigh,"Oakleigh Colliery, Rosewood",QLD,operating mine,152.5747883,-27.61169418,Coal - black,3,New Hope Coal,http://www.newhopecoal.com.au,,,,,,,,
336099,Hawkins Hill,"Hill End Project, Reward, Hawkins Hill-Reward",NSW,operating mine,149.410538,-33.05003,Gold,5,Hill End Gold Limited,http://www.hillendgold.com.au/,,,,,,,,
333767,Jaguar,,WA,operating mine,121.156281,-28.444641,"Copper, Zinc, (Silver, Lead)",3,Independence Group NL,http://www.igo.com.au,,,,,,,,
335105,Perseverance,Peak Mines Project,NSW,operating mine,145.8824,-31.5715,"Copper, Gold",4,Goldcorp,http://www.goldcorp.com/,New Gold Inc,http://www.newgold.com/,,,,,,
333675,Prominent Hill,Mt Woods,SA,operating mine,135.5749,-29.72004,"Copper, Gold, (Silver)",2,OZ Minerals Limited,http://www.ozminerals.com,,,,,,,,
334035,Mount Margaret,"E1, Mt Margaret, E1 North, E1 South, E1 East, Monakoff",QLD,operating mine,140.7829,-20.4424,"Copper, Gold, Uranium, (Uranium oxide)",3,Exco Resources Limited,http://www.excoresources.com.au,Glencore Xstrata,http://www.glencorexstrata.com/,,,,,,
334921,Cockburn - Mt McClure,Bronzewing Gold Project,WA,operating mine,120.9403,-27.4228,Gold,4,Navigator Resources Limited,http://www.navigatorresources.com.au/,,,,,,,,
335286,Moolarben,,NSW,operating mine,149.785,-32.29,Coal - black,2,Yancoal Australia Pty Ltd,http://yancoalaustralia.com.au,,,,,,,,
335733,Chichester Hub - Cloudbreak Christmas Creek (FMG),Chichester Ranges,WA,operating mine,119.396385,-22.302778,", (Iron, Iron ore)",2,Fortescue Metals Group Ltd,http://www.fmgl.com.au,,,,,,,,
335924,Maxwells,Randalls Project,WA,operating mine,122.1989,-31.0809,Gold,4,Silver Lake Resources Limited,http://www.silverlakeresources.com.au,,,,,,,,
334164,Cock -Eyed Bob,Randalls Project,WA,operating mine,122.1761,-31.0895,Gold,5,Silver Lake Resources Limited,http://www.silverlakeresources.com.au,,,,,,,,
334920,Cracow,Cracow Project,QLD,operating mine,150.277475,-25.290648,"Gold, (Silver)",4,Evolution Mining Limited,http://www.evolutionmining.com.au/,,,,,,,,
335643,Karara (Gindalbie Metals),"Mt Karara, Karara East, Karara South",WA,operating mine,116.8005,-29.16019,", (Iron, Iron ore)",2,Gindalbie Metals Limited,http://www.gindalbie.com.au,,,,,,,,
333546,Bronzewing Group,Bronzewing Gold Project,WA,operating mine,121.0125,-27.3778,Gold,4,Navigator Resources Limited,http://www.navigatorresources.com.au/,,,,,,,,
336093,Miitel,,WA,operating mine,121.643204,-31.583374,"Nickel, Cobalt, Copper",4,Mincor Resources NL,http://www.mincor.com.au,,,,,,,,
334537,Long,,WA,operating mine,121.677505,-31.178543,"Nickel, Copper",4,Independence Group NL,http://www.igo.com.au,,,,,,,,
334902,Victor,,WA,operating mine,121.678421,-31.13893,Nickel,4,Independence Group NL,http://www.igo.com.au,,,,,,,,
334832,Chesney,Peak Mines Project,NSW,operating mine,145.8577972,-31.52121939,"Copper, Gold, Lead, Zinc, Silver",4,New Gold Inc,http://www.newgold.com/,,,,,,,,
335903,Tahmoor,"Tahmoor North, Bargo",NSW,operating mine,150.5795,-34.2508,Coal - black,2,Xstrata plc,http://www.xstrata.com/,Illawarra Coal,http://www.illawarracoal.com,,,,,,
336096,Sunrise Dam,"Sunrise Dam Project, Cleo, Sunrise",WA,operating mine,122.4245,-29.0775,Gold,3,AngloGold Ashanti Limited,http://www.anglogoldashanti.com/,,,,,,,,
334061,Christmas Creek,Chichester Ranges,WA,operating mine,119.758987,-22.376169,"Iron ore, (Iron)",2,Fortescue Metals Group Ltd,http://www.fmgl.com.au,,,,,,,,
334810,Isaac Plains,,QLD,operating mine,148.108,-21.992,Coal - black,2,Aquila Resources Ltd,http://www.aquilaresources.com.au,,,,,,,,
333880,Kanowna Belle,,WA,operating mine,121.5761,-30.6101,Gold,3,Barrick Gold Corporation,http://www.barrick.com,,,,,,,,
336146,Mount Jackson,"J1, J2, J3",WA,operating mine,119.2494083,-30.25708333,"Iron ore, (Iron)",6,Cliffs Natural Resources,http://www.cliffsnaturalresources.com,,,,,,,,
335793,Ravensworth East,Swamp Creek,NSW,operating mine,151.0716683,-32.39554205,Coal - black,3,Xstrata plc,http://www.xstrata.com/,,,,,,,,
334196,German Creek,"Bundoora, Grasstrees, Central Colliery, Southern Colliery, Oak Park",QLD,operating mine,148.5510175,-22.90257137,Coal - black,2,Anglo Coal Australia Pty Ltd,http://www.anglocoal.com.au/,,,,,,,,
334379,Henty,,TAS,operating mine,145.5574,-41.8664,"Gold, (Silver)",4,Unity Mining Limited,http://www.unitymining.com.au,,,,,,,,
335720,Mount Arthur,"Mt Arthur North, Bayswater No3, Hunter Valley",NSW,operating mine,150.8561443,-32.33702196,Coal - black,1,BHP Billiton,http://www.bhpbilliton.com,,,,,,,,
334278,Coober Pedy,,SA,operating mine,134.7507971,-28.99058708,Opal,6,,,,,,,,,,
334049,Dendrobium,,NSW,operating mine,150.7599918,-34.37685049,Coal - black,2,BHP Billiton,http://www.bhpbilliton.com,,,,,,,,
333682,Ballarat (East) Gold Project,Ballarat Gold Project,VIC,operating mine,143.8597,-37.5897,Gold,3,Ballarat Goldfields,http://www.ballarat-goldfields.com.au,Castlemaine Goldfields Limited,http://www.cgt.net.au,,,,,,
334554,Mount Newman (Mount Whaleback - BHP),Newman and District,WA,operating mine,119.6777865,-23.35573681,"Iron ore, Iron",2,BHP Billiton,http://www.bhpbilliton.com,BHP Billiton - Iron Ore,http://www.bhpbilliton.com/home/businesses/ironore/Pages/default.aspx,,,,,,
333890,Gossan Hill,Golden Grove,WA,operating mine,116.9626,-28.7772,"Lead, Zinc, Silver, Gold, Copper",6,Minerals and Metals Group,http://www.mmg.com/pages/986.aspx,,,,,,,,
333774,White Dam - Olary,"White Dam Project, Drew Hill",SA,operating mine,140.5793,-32.0955,Gold,4,Exco Resources Limited,http://www.excoresources.com.au,,,,,,,,
333741,Muswellbrook No2,Sandy Creek,NSW,operating mine,150.9413917,-32.24498818,Coal - black,3,Idemitsu Kosan Co Ltd,http://www.idemitsu.co.jp/e/,,,,,,,,
333547,Kestrel,"Gordonstone, Kestrel West, Ti Tree",QLD,operating mine,148.3703056,-23.24197222,Coal - black,2,Rio Tinto Limited,http://www.riotinto.com,Rio Tinto Coal Australia,http://www.riotintocoalaustralia.com.au,,,,,,
336101,Catherwood,Kunanalling Project,WA,operating mine,121.0616,-30.6698,Gold,5,Phoenix Gold Limited,http://www.phoenixgold.com.au,,,,,,,,
335634,Wilpinjong,,NSW,operating mine,149.885,-32.332,Coal - black,2,Peabody Energy Australia,http://www.peabodyenergy.com.au,,,,,,,,
333769,Millennium,West Poitrel,QLD,operating mine,148.213,-22.025,Coal - black,3,Peabody Energy Australia,http://www.peabodyenergy.com.au,,,,,,,,
334619,Wattle Dam,,WA,operating mine,121.494507,-31.380096,Gold,5,Ramelius Resources Limited,http://www.rameliusresources.com.au,,,,,,,,
333288,Honeymoon,,SA,operating mine,140.6623645,-31.74095042,"Uranium, Uranium oxide",4,Mitsui & Company Ltd.,http://www.mitsui.com.au,Uranium One Inc - Honeymoon,http://www.uranium1.com/index.php/en/mining-operations/australia,,,,,,
333475,Moolart Well,Duketon Gold Project,WA,operating mine,122.3479,-27.6112,Gold,3,Regis Resources,http://www.regisresources.com/,,,,,,,,
334304,Chalice,Higginsville Gold Operations,WA,operating mine,121.5148,-31.8159,Gold,4,Metals X Limited,http://metalsx.com.au,,,,,,,,
334310,Magellan,Wiluna,WA,operating mine,119.9419256,-26.51794358,Lead,3,Ivernia Inc.,http://www.ivernia.com,,,,,,,,
335709,Integra (Camberwell),,NSW,operating mine,151.1449812,-32.48383941,Coal - black,4,Aquila Resources Ltd,http://www.aquilaresources.com.au,Toyota Tsusho Corp. of Japan,http://www.toyota-tsusho.com/english/,Integra Coal,http://www.integracoal.com.au,,,,
335420,Boundary Hill,includes Kilburnie,QLD,operating mine,150.494057,-24.199444,Coal - black,6,Anglo Coal Australia Pty Ltd,http://www.anglocoal.com.au/,,,,,,,,
334423,Stratford,Bowens Road North,NSW,operating mine,151.9747082,-32.11607001,Coal - black,3,Gloucester Coal,http://www.gloucestercoal.com.au,,,,,,,,
334122,Rubicon - Kunanulling,East Kundana JV,WA,operating mine,121.2602,-30.7436,Gold,4,Barrick Gold Corporation,http://www.barrick.com,Rand Mining,http://www.randmining.com.au/,Tribune Resources Limited,http://www.tribune.com.au/,,,,
335347,Broken Hill - Rasp Mine,"Broken Hill - CML7 (CBH), Pinnacle",NSW,operating mine,141.4512729,-31.96551709,"Zinc, Lead, Silver, Copper",3,CBH Resources Limited,http://www.cbhresources.com.au,Toho Zinc Company Ltd,http://www.toho-zinc.co.jp/,,,,,,
335822,Callie,Tanami Project,NT,operating mine,129.9249,-20.5266,Gold,6,Newmont Mining Corporation,http://www.newmont.com,,,,,,,,
334880,Poitrel,"includes Winchester, Mavis Downs, Wotoga and Morambah",QLD,operating mine,148.2343806,-22.0412158,Coal - black,2,BMA,http://www.bmacoal.com,,,,,,,,
334019,Middlemount,,QLD,operating mine,148.6316259,-22.84813103,Coal - black,3,Macarthur Coal Ltd,http://www.macarthurcoal.com.au,Yancoal Australia Pty Ltd,http://yancoalaustralia.com.au,,,,,,
333818,Minerva,,QLD,operating mine,148.047135,-23.921376,Coal - black,2,Felix Resources,http://www.felixresources.com.au,Yancoal Australia Pty Ltd,http://yancoalaustralia.com.au,,,,,,
336097,Curragh North,Pisces,QLD,operating mine,148.873806,-23.379904,Coal - black,2,Wesfarmers,http://www.wesfarmers.com.au,,,,,,,,
333362,Costerfield Mh Zone,Costerfield Project,VIC,operating mine,144.801,-36.8936,"Gold, (Antimony)",4,Mandalay Resources Corporation,http://www.mandalayresources.com/,,,,,,,,
333780,Mount Cuthbert,"Mt Cuthbert South, Mt Watson, Leichhardt",QLD,operating mine,139.9140173,-19.98802844,"Copper, Gold, Silver",4,Cape Lambert Resources,http://www.capelam.com.au/irm/content/home.html,Chandra Proteco Limited,http://chandra-group.com/Chandra-Proteco-Limited.html,,,,,,
334062,"Eucla Basin (Jacinth Ambrosia, Atacama, Typhoon, Sonoran, Tripitaka) )","Ambrosia, Jacinth",SA,operating mine,132.228669,-30.861125,"Zircon, (Ilmenite, Rutile)",3,Iluka Resources Ltd,http://www.iluka.com,,,,,,,,
334163,Jack Hills (Murchison and Crosslands),Saddle,WA,operating mine,117.2414,-26.05232,", (Iron, Iron ore)",2,Murchison Metals Ltd,http://www.mml.net.au,,,,,,,,
335432,Mindarie,Mercunda Project,SA,operating mine,140.2075,-34.795,"Zircon, Rutile, Ilmenite, Leucoxene",3,Australian Zircon NL,http://www.auzircon.com.au,,,,,,,,
334801,Metropolitan,,NSW,operating mine,150.9965688,-34.18491168,Coal - black,3,Illawarra Coal,http://www.illawarracoal.com,Peabody Energy Australia,http://www.peabodyenergy.com.au,,,,,,
335267,Ashton,,NSW,operating mine,151.06667,-32.46667,Coal - black,2,Ashton Coal,http://www.ashtoncoal.com.au,Yancoal Australia Pty Ltd,http://yancoalaustralia.com.au,,,,,,
334089,Bengalla,,NSW,operating mine,150.846,-32.2715,Coal - black,2,Rio Tinto Limited,http://www.riotinto.com,Coal and Allied,http://www.coalandallied.com.au/,Rio Tinto Coal Australia,http://www.riotintocoalaustralia.com.au,,,,
335554,Broken Hill,"North Mine, Southern Operations, Henry George, 1130",NSW,operating mine,141.465,-31.9665,"Zinc, Lead, Silver, (Cadmium, Gold, Copper)",3,Perilya Limited,http://www.perilya.com.au/,Perilya - Broken Hill,http://www.perilya.com.au/our-business/operations/broken-hill,,,,,,
333581,Cobar CSA,CSA,NSW,operating mine,145.7985966,-31.40801981,"Copper, (Silver, Lead, Zinc)",3,Cobar Management Pty Ltd,http://www.cmpl.com.au/,Glencore International Plc,http://www.glencore.com/,,,,,,
335115,Hill End,Tambaroora,NSW,operating mine,149.4650307,-32.867835,Gold,6,,,,,,,,,,
334994,Ernest Henry,Mt Fort Constantine,QLD,operating mine,140.7028102,-20.43982907,"Copper, Gold, (Magnetite, Iron ore, Iron)",2,Glencore Xstrata,http://www.glencorexstrata.com/,,,,,,,,
335414,Lawlers Project,"Lawlers Project, Great Eastern, Hidden Secret, Fairyland, New Holland",WA,operating mine,120.5357,-28.0789,Gold,3,Gold Fields Limited,http://www.goldfields.co.za/,,,,,,,,
333653,Yarrie_NIM (Mt Goldsworthy JV Northern - BHP),"includes Cattle Gorge, Cundaline, Nimingara",WA,operating mine,120.3019599,-20.60766463,"Iron ore, (Iron)",3,BHP Billiton,http://www.bhpbilliton.com,BHP Billiton - Iron Ore,http://www.bhpbilliton.com/home/businesses/ironore/Pages/default.aspx,,,,,,
335967,Chain Valley,,NSW,operating mine,151.5500039,-33.1630557,Coal - black,3,LD Operations,http://www.ldo.com.au,,,,,,,,
335599,Duncan,Blackwood Mt Nicholas,TAS,operating mine,148.1104978,-41.55515251,Coal - black,6,,,,,,,,,,
335082,Cockatoo Island Iron Ore (Pluton Resources),,WA,operating mine,123.6071127,-16.09496587,"Iron ore, Iron",4,Cliffs Natural Resources,http://www.cliffsnaturalresources.com,,,,,,,,
336087,Hamersley Iron - Brockman No 2,Brockman No2 Detritals,WA,operating mine,117.3438998,-22.43546628,"Iron ore, Iron",4,Rio Tinto Limited,http://www.riotinto.com,HIsmelt,http://www.hismelt.com.au,Rio Tinto Iron Ore,http://www.riotintoironore.com,,,,
335524,Mangoola,"Anvil Hill, Great Northern, Hunter Great Northern",NSW,operating mine,150.669987,-32.29684363,Coal - black,2,Xstrata plc,http://www.xstrata.com/,,,,,,,,
335525,Ely,Wenlock River,QLD,operating mine,141.9,-12.364,Bauxite,6,Rio Tinto Alcan - Weipa,http://www.riotintoalcan.com/ENG/ouroperations/1340.asp,,,,,,,,
333759,NOA,Burnakura Project,WA,operating mine,118.472,-27.02,Gold,4,Kentor Gold Limited,http://www.kentorgold.com.au/,,,,,,,,
333606,Hunter Valley Complex,"Hunter Valley No 1 & No 2, Chestnut, Carrington, Howick, Lemington, Riverview",NSW,operating mine,150.992,-32.5104,Coal - black,1,Rio Tinto Limited,http://www.riotinto.com,Coal and Allied,http://www.coalandallied.com.au/,,,,,,
335424,Ridgeway,Cadia Valley,NSW,operating mine,148.9759,-33.4353,"Gold, (Silver, Copper)",2,"Newcrest Mining Ltd - Cadia Valley, NSW",http://www.newcrest.com.au/our-business/operations/cadia-nsw/,Newcrest Mining Ltd,http://www.newcrest.com.au,,,,,,
333986,The Peak,"Peak Mines Project, Peak, Cobar, Peak Mine",NSW,operating mine,145.8778,-31.5653,"Zinc, Lead, Gold, Copper",4,Rio Tinto Limited,http://www.riotinto.com,Goldcorp,http://www.goldcorp.com/,New Gold Inc,http://www.newgold.com/,,,,
349857,Prospero,,WA,operating mine,120.5801,-27.63309,Nickel,3,Xstrata plc,http://www.xstrata.com/,,,,,,,,
354850,McLeay,"Victor South, Victor",WA,operating mine,121.6785,-31.19569,"Nickel, Cobalt",4,Independence Group NL,http://www.igo.com.au,,,,,,,,
357585,Tarrawonga,East Boggabri,NSW,operating mine,150.163,-30.638,Coal - black,3,Whitehaven Coal Mining,http://www.whitehaven.net.au,,,,,,,,
357601,Werris Creek,,NSW,operating mine,150.6395,-31.40698,Coal - black,3,Whitehaven Coal Mining,http://www.whitehaven.net.au,,,,,,,,
361059,Trident -Higginsville,Higginsville Gold Operations,WA,operating mine,121.7313,-31.725,Gold,4,Metals X Limited,http://metalsx.com.au,,,,,,,,
361291,Louis,Lake Cowan,WA,operating mine,121.8973,-31.6683,Gold,4,Metals X Limited,http://metalsx.com.au,Alacer Gold Corporation,http://www.alacergold.com/,,,,,,
362672,Hamersley Iron - Brockman No 4,,WA,operating mine,117.1737,-22.61128,"Iron ore, (Iron)",2,Rio Tinto Limited,http://www.riotinto.com,Rio Tinto Iron Ore,http://www.riotintoironore.com,,,,,,
362714,Tapinos,,WA,operating mine,120.576,-27.634,"Nickel, Cobalt",4,Jubilee Mines NL,http://www.jubileemines.com.au/,,,,,,,,
362729,Sonoma,,QLD,operating mine,147.86,-20.62,Coal - black,3,QCoal Pty Ltd,http://www.qcoal.com.au,Cliffs Natural Resources,http://www.cliffsnaturalresources.com,,,,,,
362733,Lanfranchi,,WA,operating mine,121.8429,-31.50546,"Nickel, (Copper)",3,Panoramic Resources Limited,http://www.panoramicresources.com,,,,,,,,
364397,Nelson Bay River (Shree Minerals),,TAS,operating mine,144.74,-41.17,", (Iron, Iron ore)",4,Shree Minerals,http://www.shreeminerals.com,,,,,,,,
364818,Newminster,Phillips Find Project,WA,operating mine,120.9609,-30.6106,Gold,5,Barra Resources Limited,http://www.barraresources.com.au,,,,,,,,
364835,Orebody 23,,WA,operating mine,119.84891,-23.31586,"Iron, Iron ore",6,,,,,,,,,,
407951,Pardoo-Ridley (Atlas Iron),"Bobby, South Limb, Alice, Olivia, Connie, Bobby Trend",WA,operating mine,119.118,-20.256,", (Iron, Iron ore)",2,Atlas Iron Ltd,http://www.atlasiron.com.au,,,,,,,,
408372,Wombola Pit,Mount Monger Project,WA,operating mine,121.8317,-30.9987,Gold,5,Silver Lake Resources Limited,http://www.silverlakeresources.com.au,,,,,,,,
408446,Duplex Hill South,,WA,operating mine,121.7855,-31.00528,Gold,5,Australian Mines Limited,http://www.australianmines.com.au,,,,,,,,
408448,Sinclair,,WA,operating mine,120.8645,-28.36646,"Nickel, Copper",4,Jubilee Mines NL,http://www.jubileemines.com.au/,Xstrata plc,http://www.xstrata.com/,Haddington Resources Ltd,http://www.haddington.com.au,,,,
408607,Cadia East,Cadia Valley,NSW,operating mine,149.0123,-33.465,"Copper, Gold, (Silver)",2,Newcrest Mining Ltd,http://www.newcrest.com.au,,,,,,,,
429723,Mount Moss,,QLD,operating mine,145.84711,-19.085818,"Iron ore, (Iron)",6,Curtain Brothers,http://www.curtainbros.com.au,,,,,,,,
433063,Gamma,Brightstar Project,WA,operating mine,122.718,-28.723,Gold,6,A1 Minerals Limited,http://www.a1minerals.com.au,Stone Resources Australia Limited,http://www.a1minerals.com.au/showmain.aspx?id=default,,,,,,
435527,Pine Dale,,NSW,operating mine,150.065,-33.297,Coal - black,4,,,,,,,,,,
435931,Daisy Milano,Mt Monger Project,WA,operating mine,121.9224,-31.0133,Gold,4,Cotona Resources Ltd.,http://www.cortonaresources.com.au/,Silver Lake Resources Limited,http://www.silverlakeresources.com.au,,,,,,
436529,Otter - Juan (Kambalda Group - Mincor),Kambalda,WA,operating mine,121.6514,-31.16898,Nickel,3,Mincor Resources NL,http://www.mincor.com.au,,,,,,,,
437046,Phils Creek  (Mineral Resources ),,WA,operating mine,119.1866,-22.73494,", (Iron, Iron ore)",4,Iron Ore Holdings Ltd,http://www.ironoreholdings.com,,,,,,,,
437427,Cairn Hill (IMX Resources),,SA,operating mine,135.1558,-29.2945,"Copper, (Gold, Iron, Iron ore)",4,IMX Resources Limited,http://www.imxresources.com.au,,,,,,,,
440141,Perseverance - Coolgardie,Tindals Project,WA,operating mine,121.1737,-30.9824,Gold,5,Focus Minerals Limited,http://www.focusminerals.com.au/,,,,,,,,
444537,Narrabri,"Narrabri North, Narabri South",NSW,operating mine,149.85,-30.52,Coal - black,2,Whitehaven Coal Mining,http://www.whitehaven.net.au,,,,,,,,
444544,Carborough Downs,Broadlea North,QLD,operating mine,148.2094,-21.9502,Coal - black,2,Aquila Resources Ltd,http://www.aquilaresources.com.au,,,,,,,,
446901,Abydos (Atlas Iron),Trigg,WA,operating mine,119.1058,-21.14382,", (Iron, Iron ore)",4,Atlas Iron Ltd,http://www.atlasiron.com.au,,,,,,,,
448611,Homestead,Mount Pleasant Project,WA,operating mine,121.2283,-30.5421,Gold,4,Norton Gold Fields Limited,http://www.nortongoldfields.com.au,,,,,,,,
448841,Tropicana Project,,WA,operating mine,124.55,-29.26,Gold,3,AngloGold Ashanti Limited,http://www.anglogoldashanti.com/,Independence Group NL,http://www.igo.com.au,,,,,,
450342,Spotted Quoll,,WA,operating mine,119.677803,-32.47818,Nickel,6,Western Areas Limited,http://www.westernareas.com.au,,,,,,,,
452804,Ravensworth West and North,,NSW,operating mine,150.997,-32.44,Coal - black,3,Xstrata plc,http://www.xstrata.com/,,,,,,,,
454026,Nullagine (BC Iron),"Bonnie Creek, Outcamp, Coongan, Warrigal",WA,operating mine,119.8358,-22.0928,", (Iron, Iron ore)",4,BC Iron Ltd,http://www.bciron.com.au,,,,,,,,
455632,Salt Creek - Randalls,Randalls Project,WA,operating mine,122.0203,-31.1076,Gold,4,Silver Lake Resources Limited,http://www.silverlakeresources.com.au,,,,,,,,
456497,Alec Mairs,,WA,operating mine,120.570702,-27.606661,Nickel,6,,,,,,,,,,
464062,Edna May - Westonia,Edna May Project,WA,operating mine,118.6998,-31.2912,Gold,6,Evolution Mining Limited,http://www.evolutionmining.com.au/,,,,,,,,
466228,Hamersley Iron - Western Turner Syncline,,WA,operating mine,117.586304,-22.66221,"Iron ore, (Iron)",6,Rio Tinto Limited,http://www.riotinto.com,Rio Tinto Iron Ore,http://www.riotintoironore.com,,,,,,
467257,Augusta," Costerfield Project, E Lode, W Lode, C Lode, N Lode",VIC,operating mine,144.8024,-36.8987,"Gold, (Antimony)",6,Mandalay Resources Corporation,http://www.mandalayresources.com/,,,,,,,,
467794,Lounge Lizard Nickel,,WA,operating mine,119.687599,-32.43013,"Nickel, (Cobalt, Copper)",6,Western Areas Limited,http://www.westernareas.com.au,,,,,,,,
512261,Whirling Dervish,Carosue Dam Project,WA,operating mine,122.3588,-30.1434,Gold,6,Saracen Mineral Holdings Limited,http://www.saracen.com.au/,,,,,,,,
512503, Iron Valley (BC Iron),,WA,operating mine,119.317,-22.718,", (Iron, Iron ore)",6,Iron Ore Holdings Ltd,http://www.ironoreholdings.com,,,,,,,,
512516,Wodgina ( Atlas Iron),"Anson, Arvo, Constellation, Dragon, Electra, Navajo",WA,operating mine,118.6595,-21.2073,", (Iron, Iron ore)",6,Atlas Iron Ltd,http://www.atlasiron.com.au,,,,,,,,
513616,Mount Webber (Atlas Iron),"Ibanez, Fender",WA,operating mine,119.289,-21.537,", (Iron, Iron ore)",6,Atlas Iron Ltd,http://www.atlasiron.com.au,,,,,,,,
513745,Moran,,WA,operating mine,121.678523,-31.193055,Nickel,6,Independence Group NL,http://www.igo.com.au,,,,,,,,
514609,Newstan Lochiel,Awaba East,NSW,operating mine,151.5636,-33.0302,Coal - black,6,Centennial Coal Co Ltd,http://www.centennialcoal.com.au,,,,,,,,
516417,Green Gum,Mount Pleasant Project,WA,operating mine,121.233,-30.5312,Gold,6,Norton Gold Fields Limited,http://www.nortongoldfields.com.au,,,,,,,,
516424,Golden Flag,Mount Pleasant Project,WA,operating mine,121.2814,-30.5475,Gold,6,Norton Gold Fields Limited,http://www.nortongoldfields.com.au,,,,,,,,
517131,HBJ (Hampton-Boulder-Jubilee),South Kalgoorlie Operations,WA,operating mine,121.6031,-31.0276,Gold,6,Metals X Limited,http://metalsx.com.au,Alacer Gold Corporation,http://www.alacergold.com/,,,,,,
519582,DeGrussa,"Conductor 1, Doolgunna",WA,operating mine,119.328132,-25.540623,"Copper, Gold, (Silver)",6,Sandfire Resources NL,http://www.sandfire.com.au,,,,,,,,
